127.0.0.1, 2016-03-11 11:25:36, POST, /admin/default/check_version, HTTP/1.1, 200, 0.045826
127.0.0.1, 2016-03-11 11:25:36, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2016-03-11 11:25:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2016-03-11 11:25:46, POST, /admin/default/site, HTTP/1.1, 303, 0.123658
127.0.0.1, 2016-03-11 11:25:46, GET, /admin/default/design/AttandencePlus, HTTP/1.1, 200, 0.132132
127.0.0.1, 2016-03-11 11:25:46, GET, /admin/static/_2.13.4/images/delete_icon.png, HTTP/1.1, 200, 0.000721
127.0.0.1, 2016-03-11 11:25:46, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.001815
127.0.0.1, 2016-03-11 11:25:46, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 200, 0.000535
127.0.0.1, 2016-03-11 11:25:46, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 200, 0.002713
127.0.0.1, 2016-03-11 11:25:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2016-03-11 11:26:44, GET, /admin/default/site, HTTP/1.1, 200, 0.041312
127.0.0.1, 2016-03-11 11:26:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2016-03-11 11:26:54, POST, /admin/default/site, HTTP/1.1, 303, 0.122870
127.0.0.1, 2016-03-11 11:26:55, GET, /admin/default/design/AttendancePlus, HTTP/1.1, 200, 0.128739
127.0.0.1, 2016-03-11 11:26:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000188
192.168.0.104, 2016-03-11 11:27:08, GET, /, HTTP/1.1, 200, 0.051987
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000786
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000894
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000696
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/js/jquery.js, HTTP/1.1, 200, 0.000797
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/js/calendar.js, HTTP/1.1, 200, 0.000995
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/css/calendar.css, HTTP/1.1, 200, 0.001788
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/js/web2py.js, HTTP/1.1, 200, 0.000794
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000790
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000751
192.168.0.104, 2016-03-11 11:27:08, GET, /AttendancePlus/static/js/share.js, HTTP/1.1, 200, 0.001020
192.168.0.104, 2016-03-11 11:27:09, GET, /AttendancePlus/static/images/background.jpg, HTTP/1.1, 200, 0.000755
192.168.0.104, 2016-03-11 11:27:09, GET, /AttendancePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000693
192.168.0.104, 2016-03-11 11:27:09, GET, /AttendancePlus/static/images/twitter.png, HTTP/1.1, 200, 0.000729
192.168.0.104, 2016-03-11 11:27:09, GET, /AttendancePlus/static/images/facebook.png, HTTP/1.1, 200, 0.000804
192.168.0.104, 2016-03-11 11:27:09, GET, /AttendancePlus/static/images/gplus-32.png, HTTP/1.1, 200, 0.000931
192.168.0.104, 2016-03-11 11:27:09, GET, /AttendancePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.000393
192.168.0.104, 2016-03-11 11:28:25, GET, /, HTTP/1.1, 200, 0.018664
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001254
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000946
